,StudyInstanceUID,Modality
0,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
1,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
2,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
3,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
4,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
5,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
6,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
7,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
8,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
9,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
10,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
11,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
12,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
13,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
14,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
15,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
16,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
17,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
18,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
19,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
20,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
21,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
22,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
23,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
24,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
25,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
26,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
27,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
28,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
29,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
30,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
31,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
32,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
33,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
34,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
35,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
36,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
37,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
38,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
39,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
40,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
41,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
42,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
43,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
44,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
45,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
46,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
47,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
48,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
49,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
50,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
51,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
52,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
53,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
54,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
55,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
56,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
57,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
58,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
59,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
60,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
61,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
62,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
63,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
64,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
65,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
66,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
67,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
68,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
69,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
70,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
71,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
72,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
73,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
74,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
75,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
76,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
77,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
78,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
79,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
80,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
81,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
82,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
83,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
84,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
85,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
86,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
87,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
88,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
89,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
90,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
91,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
92,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
93,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
94,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
95,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
96,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
97,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
98,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
99,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
100,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
101,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
102,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
103,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
104,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
105,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
106,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
107,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
108,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
109,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
110,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
111,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
112,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
113,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
114,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
115,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
116,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
117,1.3.6.1.4.1.14519.5.2.1.7014.4598.241302417772680614574081426270,CT
